15	5	E	-2.9418047000253594E8	200
emissionprobs	5	4	H3K9me3	1	0.0019713788162837656
emissionprobs	6	0	H3K27me3	0	0.9981176865816319
emissionprobs	6	0	H3K27me3	1	0.0018823134183680492
emissionprobs	6	1	H3K36me3	0	0.37852708850397265
emissionprobs	6	1	H3K36me3	1	0.6214729114960272
emissionprobs	6	2	H3K4me1	0	0.27966922685948264
emissionprobs	6	2	H3K4me1	1	0.7203307731405173
emissionprobs	6	3	H3K4me3	0	0.976447609757555
emissionprobs	6	3	H3K4me3	1	0.02355239024244513
emissionprobs	6	4	H3K9me3	0	0.9953717884456728
emissionprobs	6	4	H3K9me3	1	0.004628211554327288
emissionprobs	7	0	H3K27me3	0	0.9968372788673459
emissionprobs	7	0	H3K27me3	1	0.0031627211326542373
emissionprobs	7	1	H3K36me3	0	0.9930958846419239
emissionprobs	7	1	H3K36me3	1	0.006904115358076151
emissionprobs	7	2	H3K4me1	0	0.2874695534952785
emissionprobs	7	2	H3K4me1	1	0.7125304465047215
emissionprobs	7	3	H3K4me3	0	0.9826789648372989
emissionprobs	7	3	H3K4me3	1	0.017321035162701042
emissionprobs	7	4	H3K9me3	0	0.9964114476317871
emissionprobs	7	4	H3K9me3	1	0.0035885523682128912
emissionprobs	8	0	H3K27me3	0	0.9738979959642674
emissionprobs	8	0	H3K27me3	1	0.026102004035732627
emissionprobs	8	1	H3K36me3	0	0.49703185043309855
emissionprobs	8	1	H3K36me3	1	0.5029681495669015
emissionprobs	8	2	H3K4me1	0	0.973241483631033
emissionprobs	8	2	H3K4me1	1	0.026758516368966968
emissionprobs	8	3	H3K4me3	0	0.8596370915377818
emissionprobs	8	3	H3K4me3	1	0.14036290846221816
emissionprobs	8	4	H3K9me3	0	0.23371276790778317
emissionprobs	8	4	H3K9me3	1	0.7662872320922168
emissionprobs	9	0	H3K27me3	0	0.9938952709621826
emissionprobs	9	0	H3K27me3	1	0.006104729037817464
emissionprobs	9	1	H3K36me3	0	0.9974993701867071
emissionprobs	9	1	H3K36me3	1	0.0025006298132929272
emissionprobs	9	2	H3K4me1	0	0.9991089459462492
emissionprobs	9	2	H3K4me1	1	8.910540537507049E-4
emissionprobs	9	3	H3K4me3	0	0.9948375085990628
emissionprobs	9	3	H3K4me3	1	0.00516249140093719
emissionprobs	9	4	H3K9me3	0	0.614290754577404
emissionprobs	9	4	H3K9me3	1	0.38570924542259605
emissionprobs	10	0	H3K27me3	0	0.30712858478981203
emissionprobs	10	0	H3K27me3	1	0.692871415210188
emissionprobs	10	1	H3K36me3	0	0.9953575075268991
emissionprobs	10	1	H3K36me3	1	0.004642492473100879
emissionprobs	10	2	H3K4me1	0	0.9191108901369305
emissionprobs	10	2	H3K4me1	1	0.08088910986306948
emissionprobs	10	3	H3K4me3	0	0.08849539677443914
emissionprobs	10	3	H3K4me3	1	0.9115046032255608
emissionprobs	10	4	H3K9me3	0	0.9831108635013106
emissionprobs	10	4	H3K9me3	1	0.016889136498689394
emissionprobs	11	0	H3K27me3	0	0.13617207482002214
emissionprobs	11	0	H3K27me3	1	0.8638279251799779
emissionprobs	11	1	H3K36me3	0	0.9854597262822112
emissionprobs	11	1	H3K36me3	1	0.014540273717788642
emissionprobs	11	2	H3K4me1	0	0.08664168844066879
emissionprobs	11	2	H3K4me1	1	0.9133583115593312
emissionprobs	11	3	H3K4me3	0	0.008942185440878625
emissionprobs	11	3	H3K4me3	1	0.9910578145591215
emissionprobs	11	4	H3K9me3	0	0.9588109898511605
emissionprobs	11	4	H3K9me3	1	0.04118901014883944
emissionprobs	12	0	H3K27me3	0	0.28066709684365937
emissionprobs	12	0	H3K27me3	1	0.7193329031563407
emissionprobs	12	1	H3K36me3	0	0.9910890863486924
emissionprobs	12	1	H3K36me3	1	0.00891091365130757
emissionprobs	12	2	H3K4me1	0	0.3006496914750849
emissionprobs	12	2	H3K4me1	1	0.6993503085249152
emissionprobs	12	3	H3K4me3	0	0.9737963406915934
emissionprobs	12	3	H3K4me3	1	0.02620365930840661
emissionprobs	12	4	H3K9me3	0	0.9733359549359086
emissionprobs	12	4	H3K9me3	1	0.02666404506409133
emissionprobs	13	0	H3K27me3	0	0.31788604013346045
emissionprobs	13	0	H3K27me3	1	0.6821139598665396
emissionprobs	13	1	H3K36me3	0	0.9969412841037025
emissionprobs	13	1	H3K36me3	1	0.0030587158962974157
emissionprobs	13	2	H3K4me1	0	0.9985750819670282
emissionprobs	13	2	H3K4me1	1	0.0014249180329718345
emissionprobs	13	3	H3K4me3	0	0.9987822200163757
emissionprobs	13	3	H3K4me3	1	0.001217779983624207
emissionprobs	13	4	H3K9me3	0	0.9699716433251342
emissionprobs	13	4	H3K9me3	1	0.030028356674865815
emissionprobs	14	0	H3K27me3	0	0.9338039950498248
emissionprobs	14	0	H3K27me3	1	0.06619600495017518
emissionprobs	14	1	H3K36me3	0	0.9997651427492299
emissionprobs	14	1	H3K36me3	1	2.3485725077015233E-4
emissionprobs	14	2	H3K4me1	0	0.9968851781167023
emissionprobs	14	2	H3K4me1	1	0.0031148218832976983
emissionprobs	14	3	H3K4me3	0	0.9995238453684809
emissionprobs	14	3	H3K4me3	1	4.7615463151916363E-4
emissionprobs	14	4	H3K9me3	0	0.9958087206466476
emissionprobs	14	4	H3K9me3	1	0.004191279353352407
emissionprobs	15	0	H3K27me3	0	0.9984352589167927
emissionprobs	15	0	H3K27me3	1	0.0015647410832072683
emissionprobs	15	1	H3K36me3	0	0.999714673181746
emissionprobs	15	1	H3K36me3	1	2.8532681825389316E-4
emissionprobs	15	2	H3K4me1	0	0.9984338275329886
emissionprobs	15	2	H3K4me1	1	0.0015661724670113946
emissionprobs	15	3	H3K4me3	0	0.9997622494244018
emissionprobs	15	3	H3K4me3	1	2.3775057559813974E-4
emissionprobs	15	4	H3K9me3	0	0.995572286475144
emissionprobs	15	4	H3K9me3	1	0.004427713524855991
